feature,mean_abs_shap
mfp_1457,0.0
mfp_1484,0.0
mfp_1483,0.0
mfp_1482,0.0
mfp_1481,0.0
mfp_1480,0.0
mfp_1479,0.0
mfp_1478,0.0
mfp_1477,0.0
mfp_1476,0.0
mfp_1475,0.0
mfp_1474,0.0
mfp_1473,0.0
mfp_1472,0.0
mfp_1471,0.0
mfp_1470,0.0
mfp_1469,0.0
mfp_1468,0.0
mfp_1467,0.0
mfp_1466,0.0
mfp_1465,0.0
mfp_1464,0.0
mfp_1463,0.0
mfp_1462,0.0
mfp_1461,0.0
mfp_1460,0.0
mfp_1459,0.0
mfp_1458,0.0
mfp_1307,0.0
mfp_1301,0.0
mfp_1305,0.0
mfp_1134,0.0
mfp_1147,0.0
mfp_1146,0.0
mfp_1145,0.0
mfp_1144,0.0
mfp_1143,0.0
mfp_1142,0.0
mfp_1141,0.0
mfp_1140,0.0
mfp_1139,0.0
mfp_1138,0.0
mfp_1137,0.0
mfp_1136,0.0
mfp_1135,0.0
mfp_1133,0.0
mfp_1118,0.0
mfp_1132,0.0
mfp_1131,0.0
mfp_1130,0.0
mfp_1129,0.0
mfp_1128,0.0
mfp_1127,0.0
mfp_1126,0.0
mfp_1125,0.0
mfp_1124,0.0
mfp_1123,0.0
mfp_1122,0.0
mfp_1121,0.0
mfp_1120,0.0
mfp_1148,0.0
mfp_1149,0.0
mfp_1150,0.0
mfp_1151,0.0
mfp_1178,0.0
mfp_1177,0.0
mfp_1176,0.0
mfp_1175,0.0
mfp_1174,0.0
mfp_1173,0.0
mfp_1172,0.0
mfp_1171,0.0
mfp_1170,0.0
mfp_1169,0.0
mfp_1168,0.0
mfp_1167,0.0
mfp_1166,0.0
mfp_1165,0.0
mfp_1164,0.0
mfp_1163,0.0
mfp_1162,0.0
mfp_1161,0.0
mfp_1160,0.0
mfp_1159,0.0
mfp_1158,0.0
mfp_1157,0.0
mfp_1156,0.0
mfp_1155,0.0
mfp_1154,0.0
mfp_1153,0.0
mfp_1152,0.0
mfp_1119,0.0
mfp_1117,0.0
mfp_1304,0.0
mfp_1071,0.0
mfp_1084,0.0
mfp_1083,0.0
mfp_1082,0.0
mfp_1081,0.0
mfp_1080,0.0
mfp_1079,0.0
mfp_1078,0.0
mfp_1077,0.0
mfp_1076,0.0
mfp_1075,0.0
mfp_1074,0.0
mfp_1073,0.0
mfp_1072,0.0
mfp_1070,0.0
mfp_1116,0.0
mfp_1069,0.0
mfp_1068,0.0
mfp_1067,0.0
mfp_1066,0.0
mfp_1065,0.0
mfp_1064,0.0
mfp_1063,0.0
mfp_1062,0.0
mfp_1061,0.0
NOCount,0.0
mfp_1060,0.0
mfp_1059,0.0
mfp_1058,0.0
mfp_1085,0.0
mfp_1086,0.0
mfp_1087,0.0
mfp_1088,0.0
mfp_1115,0.0
mfp_1114,0.0
mfp_1113,0.0
mfp_1112,0.0
mfp_1111,0.0
mfp_1110,0.0
mfp_1109,0.0
mfp_1108,0.0
mfp_1107,0.0
mfp_1106,0.0
mfp_1105,0.0
mfp_1104,0.0
mfp_1103,0.0
mfp_1102,0.0
mfp_1101,0.0
mfp_1100,0.0
mfp_1099,0.0
mfp_1098,0.0
mfp_1097,0.0
mfp_1096,0.0
mfp_1095,0.0
mfp_1094,0.0
mfp_1093,0.0
mfp_1092,0.0
mfp_1091,0.0
mfp_1090,0.0
mfp_1089,0.0
mfp_1179,0.0
mfp_1180,0.0
mfp_1181,0.0
mfp_1259,0.0
mfp_1272,0.0
mfp_1271,0.0
mfp_1270,0.0
mfp_1269,0.0
mfp_1268,0.0
mfp_1267,0.0
mfp_1266,0.0
mfp_1265,0.0
mfp_1264,0.0
mfp_1263,0.0
mfp_1262,0.0
mfp_1261,0.0
mfp_1260,0.0
mfp_1258,0.0
mfp_1182,0.0
mfp_1257,0.0
mfp_1256,0.0
mfp_1255,0.0
mfp_1254,0.0
mfp_1253,0.0
mfp_1252,0.0
mfp_1251,0.0
mfp_1250,0.0
mfp_1249,0.0
mfp_1248,0.0
mfp_1247,0.0
mfp_1246,0.0
mfp_1245,0.0
mfp_1273,0.0
mfp_1274,0.0
mfp_1275,0.0
mfp_1276,0.0
mfp_1303,0.0
mfp_1302,0.0
mfp_1549,0.0
mfp_1300,0.0
mfp_1299,0.0
mfp_1298,0.0
mfp_1297,0.0
mfp_1296,0.0
mfp_1295,0.0
mfp_1294,0.0
mfp_1293,0.0
mfp_1292,0.0
mfp_1291,0.0
mfp_1290,0.0
mfp_1289,0.0
mfp_1288,0.0
mfp_1287,0.0
mfp_1286,0.0
mfp_1285,0.0
mfp_1284,0.0
mfp_1283,0.0
mfp_1282,0.0
mfp_1281,0.0
mfp_1280,0.0
mfp_1279,0.0
mfp_1278,0.0
mfp_1277,0.0
mfp_1244,0.0
mfp_1243,0.0
mfp_1242,0.0
mfp_1211,0.0
mfp_1209,0.0
mfp_1208,0.0
mfp_1207,0.0
mfp_1206,0.0
mfp_1205,0.0
mfp_1204,0.0
mfp_1203,0.0
mfp_1202,0.0
mfp_1201,0.0
mfp_1200,0.0
mfp_1199,0.0
mfp_1198,0.0
mfp_1197,0.0
mfp_1196,0.0
mfp_1195,0.0
mfp_1194,0.0
