compound_id,canonical_smiles,source_dataset,scaffold_smiles,p_repellent,p_non_repellent,ensemble_std,prediction_interval_lower,prediction_interval_upper,prediction_interval,ood_score,rank,high_ood,high_uncertainty
LIC_01981,O=C(O)c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,insecticide,C1CCC(CCC2CCCCC2CCC2CCCCC2)CC1,0.99999999,1.0000000050247593e-08,0.00084743503,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.3004782906232989,54,False,False
LIC_01982,CCOC(=O)c1sc(NC(=O)c2ccc(N3C(=O)CCC3=O)cc2)c(C(=O)OCC)c1C,insecticide,CC(CC1CCCC1)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.00036599758,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5175416308313205,55,False,False
LIC_01983,N#C/C(=C\c1ccco1)C(=O)Nc1ccc([N+](=O)[O-])cc1Cl,insecticide,CC(CCC1CCCC1)CC1CCCCC1,0.99999999,1.0000000050247593e-08,0.0007627302,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6664112237794992,56,False,False
LIC_01984,CCc1ccccc1N1C(=O)CC(Sc2ccccc2C(=O)O)C1=O,insecticide,CC1CC(CC2CCCCC2)C(C)C1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.00027456798,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5160539655005634,57,False,False
LIC_01985,COc1ccccc1-c1c(O)c2ccc(O)cc2oc1=O,insecticide,CC1CC2CCCCC2CC1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0028014511,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.44145199813550845,58,False,True
LIC_01986,O=C(O)c1ccccc1SC1CC(=O)N(c2ccc(F)cc2)C1=O,insecticide,CC1CC(CC2CCCCC2)C(C)C1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0011139549,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5778423023438031,59,False,False
LIC_01987,O=S(=O)(Oc1cccc(Cl)c1Cl)c1ccccc1,insecticide,CC(C)(CC1CCCCC1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0018599347,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4987273366538464,60,False,False
LIC_01988,O=C(CN1C(=O)CCC1=O)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,insecticide,CC(CC1CC(C2CCCCC2)C(C2CCCCC2)C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00050743215,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5312078123088276,61,False,True
LIC_01989,CC(C)(C)c1ccc(/C=C/C(=O)O)cc1,insecticide,C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0012358857,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.30272366838530856,62,False,False
LIC_01990,Cc1ccc(/C=C(/C#N)C(=O)Nc2ccc(Cl)cc2[N+](=O)[O-])o1,insecticide,CC(CCC1CCCC1)CC1CCCCC1,0.99999999,1.0000000050247593e-08,0.00035003712,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6772331557206549,63,False,False
LIC_01991,CNC(=O)c1c(NC(=O)c2cccc(N3C(=O)CCC3=O)c2)sc2c1CCN(C(=O)OC)C2,insecticide,CC(CC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.0009886585,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.7097931768278444,64,False,False
LIC_01992,O=C(Nc1nc2cc3c(cc2s1)OCO3)c1ccc(N2C(=O)CCC2=O)cc1,insecticide,CC(CC1CC2CC3CCCC3CC2C1)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.0005082237,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6475422901948764,65,False,False
LIC_01993,COc1ccc(-c2c(O)c3ccc(O)cc3oc2=O)cc1OC,insecticide,CC1CC2CCCCC2CC1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.00047274627,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4904455148282576,66,False,True
LIC_01974,O=C(Nc1nc2ccccc2s1)c1ccc([N+](=O)[O-])cc1Cl,insecticide,CC(CC1CC2CCCCC2C1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0016098872,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5728970116931884,67,False,True
LIC_01973,CCOC(=O)c1[nH]c2ccccc2c1NC(=O)c1ccc(N2C(=O)CCC2=O)cc1,insecticide,CC(CC1CCC2CCCCC21)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.0001990519,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6313120905931789,68,False,True
LIC_01972,O=C(Nc1ccc(-c2ccc(N3CCOCC3)nn2)cc1)c1ccc([N+](=O)[O-])cc1Cl,insecticide,CC(CC1CCC(C2CCC(C3CCCCC3)CC2)CC1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.00041621906,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.7199412820313533,69,False,True
LIC_01961,CCCn1cnc2c1c(=O)n(C)c(=O)n2C,insecticide,CC1CC(C)C2CCCC2C1,0.99999999,1.0000000050247593e-08,0.0025793838,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.44657112510176383,70,False,False
LIC_01953,CCOC(=O)Cn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2c(C)cc(C)cc21,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00037135338,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6018113799297424,71,False,False
LIC_01954,CN1/C(=C(\C#N)C(=O)c2cccc(N3C(=O)CCC3=O)c2)Nc2ccccc21,insecticide,CC(CC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.0003025025,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.46408234291744366,72,False,False
LIC_01955,CCOC(=O)N1CCc2c(sc(NC(=O)c3cccc(N4C(=O)CCC4=O)c3)c2C#N)C1,insecticide,CC(CC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.00033489498,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.7187979615621768,73,False,True
LIC_01956,O=C(CN1C(=O)CCC1=O)Nc1ccc(Cc2ccc(NC(=O)CN3C(=O)CCC3=O)cc2)cc1,insecticide,CC(CC1CCC(CC2CCC(CC(C)CC3C(C)CCC3C)CC2)CC1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00034652848,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4393470333220569,74,False,False
