Compound_ID,SMILES,InChIKey,Molecular_Formula,MW_Da,p_repellent,OOD_Score,Target_Species,PubChem_CID
REP_00247,CCN(CC)C(=O)c1ccccc1,JLNGEXDJAQASHD-UHFFFAOYSA-N,C11H15NO,177.1154,0.99999999,0.40366156034012346,Aedes aegypti,15542
REP_00248,CCN(CC)[C@@H](O)c1ccccc1,YYJNVSQQCVUHHI-NSHDSACASA-N,C11H17NO,179.131,0.99999999,0.5036848112144388,Aedes aegypti,13220537
REP_00249,CCN(CCO)c1ccccc1,HYVGFUIWHXLVNV-UHFFFAOYSA-N,C10H15NO,165.1154,0.99999999,0.5331432178304348,Aedes aegypti,62338
REP_00250,CCOC(=O)C=CC(C)C,GNDHNYOKGXAMOS-UHFFFAOYSA-N,C8H14O2,142.0994,1e-08,0.39318263602296977,Aedes aegypti,566233
REP_00251,CCOC(=O)C=Cc1ccccc1,KBEBGUQPQBELIU-UHFFFAOYSA-N,C11H12O2,176.0837,0.9285714285714286,0.2535450994448752,Aedes aegypti,7649
REP_00252,CCOc1ccc(C(C)=O)cc1,YJFNFQHMQJCPRG-UHFFFAOYSA-N,C10H12O2,164.0837,0.22807017543859648,0.2365089191164438,Aedes aegypti,72872
REP_00253,CCOc1ccc(CCO)cc1,CNMVSNTVPZWQMI-UHFFFAOYSA-N,C10H14O2,166.0994,0.7777777777777778,0.17885978421980384,Aedes aegypti,80345
REP_00254,CCOc1ccc(CO)cc1,UKFLLQIRBABMKF-UHFFFAOYSA-N,C9H12O2,152.0837,0.45714285714285713,0.17205682111617274,Aedes aegypti,80345
REP_00255,CCc1ccc(O)c(OC)c1,CHWNEIVBYREQRF-UHFFFAOYSA-N,C9H12O2,152.0837,0.22807017543859648,0.381161268426976,Aedes aegypti,62465
REP_00256,COC1c2ccccc2CC1O,ZHWPZRVYPHGXSF-UHFFFAOYSA-N,C10H12O2,164.0837,0.5,0.5447798918822957,Aedes aegypti,143339
