Property,Active_Mean,Active_SD,Inactive_Mean,Inactive_SD,Overall_Mean,Overall_SD
Molecular Weight (Da),355.4611351791531,306.50692471761386,322.75603249097486,110.12873362669693,345.2935555555556,262.1021268043974
VSA_EState2,17.596208902458134,46.99162613149665,16.7320257452124,11.864558285646206,17.327545900710582,39.556941974451895
SMR_VSA7,45.69848941002796,29.476741808218883,47.66121461428081,30.258842944598452,46.3086744623041,29.71895842071083
SMR_VSA1,14.817894655857735,19.39666226063861,12.301024607967225,9.262862278881007,14.035433372731282,16.94404055275056
MolLogP,3.266509609120523,2.106462764021554,2.952149602888088,1.8141993197627835,3.16877928170595,2.0243634998925586
MaxPartialCharge,0.25325269065187495,0.10658444734799508,0.26508297208438714,0.09975129965939042,0.25691539925357926,0.10460365891244942
PEOE_VSA3,4.908762051716446,6.719063706912718,3.858761431041457,4.90007277563653,4.5823308823259055,6.227141843079476
NumHeteroatoms,6.630293159609121,8.132976851995325,5.7111913357400725,2.93707886704273,6.3445566778900115,6.9580784106255384
PEOE_VSA7,39.836813553450476,29.89641443610479,35.277869990943124,20.685785612153307,38.4194988881143,27.43664636742001
BalabanJ,2.170865394985045,0.5954092671281263,2.161017041833573,0.5168996987477233,2.1678036735226907,0.5718859319579909
Chi1v,8.70286441043687,7.5930824759214435,7.929031952361406,2.711128974655924,8.462290234357294,6.489872852380562
PEOE_VSA1,11.934451012364162,23.057856794292935,9.930754475082466,7.5725147036350835,11.311528519853468,19.617222503388746
Kappa1,18.34322325686172,17.83305741882426,16.308660064739062,5.7184410272295505,17.71070473360922,15.16799216999819
MinAbsPartialCharge,0.2391369811025724,0.08943242715733424,0.2558831678283917,0.08880630427331032,0.2443216762018656,0.08952461923361497
PEOE_VSA8,15.887360922405573,16.281829323463064,16.176357518559225,12.481504663514427,15.977206104374778,15.196040003917433
Kappa2,8.332783710342984,9.335647375190488,7.149395774874628,2.763666355401488,7.964884206274819,7.9181881460508
VSA_EState1,14.262648647894794,17.728125833661785,10.800314107095588,14.650046151853328,13.186255081338814,16.899639342541043
MolMR,94.27250765472317,78.5991392389673,86.25641335740075,28.121868501787215,91.78041099887771,67.18701083784484
MolWt,355.4611351791531,306.50692471761386,322.75603249097486,110.12873362669693,345.2935555555556,262.1021268043974
Chi1n,8.030473482389345,7.10351336249106,7.33766098079714,2.6397872998538476,7.815087328695697,6.08431784823236
PEOE_VSA2,6.382300032495239,15.979270585711093,7.016420213231198,5.85374617961917,6.579439527516408,13.659416741066009
LabuteASA,146.66235031428775,124.30828480933634,133.46310190333224,44.1750509042266,142.5588802695799,106.23413273842131
MaxAbsPartialCharge,0.4146718885835801,0.07893554381674593,0.3923904026772229,0.07860891723747268,0.407773439839691,0.079461432599236
TPSA,68.02182410423451,125.25180922624871,60.737220216606495,34.91274960005459,65.75713804713804,105.80509653833035
