Property,Repellent_Mean,Repellent_SD,NonRepellent_Mean,NonRepellent_SD,Overall_Mean,Overall_SD
Molecular Weight (Da),199.29275201072383,68.8872362618707,143.46223871866295,31.842227152932807,171.911393715847,60.757920601224214
HeavyAtomCount,14.13941018766756,4.994284547941768,9.81058495821727,1.9297145540778928,12.01639344262295,4.382498971462289
Chi1,6.741884241743429,2.3968073543656017,4.643539385776538,0.950445588446149,5.712777953092998,2.1136921819772527
HallKierAlpha,-0.9638069705093834,0.6392497999416775,-0.6262674094707522,0.43293527948804694,-0.7982650273224045,0.5729388760210146
Chi1v,5.246871669012141,1.8999972983054338,3.5370903117897727,0.9027330901679637,4.408331358571116,1.7227208772431266
MolMR,57.12405254691692,20.14060186150828,39.27916072423399,8.81247100890454,48.37225450819675,18.004213537358137
Chi1n,5.19915215316939,1.9083262823255525,3.444996673611761,0.8795469592418576,4.338849124260662,1.732667503123425
MaxPartialCharge,0.20102718059245325,0.11874846002517564,0.19396790737729008,0.1200078349702864,0.19756505069594565,0.11933831801846656
SMR_VSA5,36.537515127521495,22.305323164483344,24.095598711416233,15.75588698447626,30.435536994486267,20.334792102738735
VSA_EState1,3.8664871523875455,5.188604246229837,3.856480749251453,3.9767676321052816,3.8615796404669758,4.6309070622127075
FractionCSP3,0.6139471433989895,0.2814615802778927,0.6646936938023289,0.28799281467505383,0.6388351373809551,0.2856189020132586
Chi0,10.623411161777042,3.61549653309557,7.572330675047522,1.404571594170909,9.12704791760232,3.1540315778015153
Kappa2,5.689031933807734,2.735071507826766,4.278927844131436,1.8382052347855014,4.997464490920042,2.4411580257097274
TPSA,33.712546916890076,16.66905452360243,28.76381615598886,15.621235231084574,31.28550546448087,16.34123108989913
MolLogP,2.5430954423592502,1.4649605052834929,1.5684936490250698,1.1690978074111815,2.065114508196722,1.4139340199529111
BertzCT,262.5224645521133,174.39032340309262,137.02790700943672,71.39163891821893,200.97527034744,148.03266261784805
NumHeteroatoms,2.479892761394102,1.3330972866095487,2.1420612813370474,1.0724519947999114,2.314207650273224,1.2231981586023384
NumRotatableBonds,4.230563002680965,3.1126569493483287,2.7242339832869082,1.9243363249358487,3.4918032786885247,2.7040403522576475
PEOE_VSA7,26.209143414770725,16.351595535260138,14.743824137089831,9.747213683933996,20.58612480727422,14.679592357852627
BalabanJ,2.768866772137756,0.667453277936491,2.942367842698576,0.5375619422186252,2.853958144175098,0.6129951190748435
EState_VSA2,8.876031239542403,8.70227512417179,6.040553177978724,5.636821517381815,7.485407436125244,7.490731469150441
PEOE_VSA8,7.290372035247456,7.236056225552944,5.285770114234088,5.079487361143457,6.307240765242267,6.347230271540718
MinAbsPartialCharge,0.20228290161765275,0.11493453159961212,0.19463499954369456,0.11533894928142346,0.19853208625624433,0.11511785527167397
SlogP_VSA2,17.317978251577955,10.365745478912473,15.004928439177371,9.871123765696174,16.183572674184774,10.185208910420032
LabuteASA,86.63629652134448,29.792382675544538,61.05753141625393,12.272249019239043,74.09151964603366,26.252168636739356
NumHDonors,0.5093833780160858,0.6744515058986735,0.38997214484679665,0.6503198605375916,0.45081967213114754,0.6649619762194499
MinPartialCharge,-0.3965610017499145,0.09683228919817478,-0.3875604375190181,0.10946851971314686,-0.39214679060388746,0.10325029874267744
SlogP_VSA5,35.71526152721303,20.491061032100934,22.22704189784648,14.581987911619247,29.100137419367957,19.061466836900554
