Compound_ID,SMILES,InChIKey,Insecticidal_Active,ChEMBL_ID,N_Assay_Records,Best_pChEMBL,Median_pChEMBL,Target_Organisms,Source
EXT_00777,CCCCCCSCC(C)=O,WWKQGAPNBQJSNA-UHFFFAOYSA-N,0,CHEMBL153107,1,,,Drosophila melanogaster,ChEMBL
EXT_00778,S=C(NCCN1CCOCC1)Nc1cccc(Cl)c1,WWMQKYLDVZTOBE-UHFFFAOYSA-N,0,CHEMBL1416246,1,4.17,4.17,Anopheles gambiae,ChEMBL
EXT_00779,Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,WWMWBLWTLDFTOG-ARFHVFGLSA-N,1,CHEMBL1089867,1,5.75,5.75,Drosophila melanogaster,ChEMBL
EXT_00780,CC[C@H](O)C[C@@]12[C@@H]3C[C@H]4[C@H]5[C@H](C)/C(=C6/OC(=O)C(C)=C6OC)O[C@]5(O3)[C@H]1CCN42,WXCVDEUJZBRYIT-DOKLQMRDSA-N,1,CHEMBL491987,2,,,Spodoptera littoralis,ChEMBL
EXT_00781,C(\COc1ccc(Cc2ccccc2)cc1)=N/OC1CCCC1,XAEWOZAUXHGARZ-KGENOOAVSA-N,1,CHEMBL2268518,1,8.1,8.1,Culex pipiens,ChEMBL
EXT_00782,CC(C)(C)c1cccc(C(=O)C(F)(F)F)c1,XAZQUPBUJONHAF-UHFFFAOYSA-N,1,CHEMBL89354,2,7.74,7.505,Anopheles gambiae,ChEMBL
EXT_00783,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2cc[n+](C)cc2)c(=O)[nH]c1=O,XBEIAPUKOLJNSE-KTKRTIGZSA-O,0,CHEMBL219908,1,,,Drosophila melanogaster,ChEMBL
EXT_00784,NS(=O)(=O)c1ccc(CCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2CO)cc1,XCDUUGYZODDUMD-UHFFFAOYSA-N,1,CHEMBL2324864,1,8.21,8.21,Anopheles gambiae,ChEMBL
EXT_00785,C=CCN(Cc1ccc(Cl)nc1)/C(C)=N/C#N,XCLRBPNSFVYAEZ-MHWRWJLKSA-N,0,CHEMBL2287448,1,4.46,4.46,Musca domestica,ChEMBL
EXT_00786,CCO/N=C/COc1ccc(Oc2ccc(OCC)cc2)cc1,XCXLLORXFJGAGE-CPNJWEJPSA-N,1,CHEMBL2271474,1,6.86,6.86,Culex pipiens,ChEMBL
