Compound_ID,SMILES,InChIKey,Insecticidal_Active,ChEMBL_ID,N_Assay_Records,Best_pChEMBL,Median_pChEMBL,Target_Organisms,Source
EXT_00858,FC1(F)Cc2cn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)nc2C1,ZHDRYZUBXGVWLJ-UHFFFAOYSA-N,1,CHEMBL205569,1,6.7,6.7,Musca domestica,ChEMBL
EXT_00859,CCCCCCCCC(=O)CF,ZHHDPMJFHGUJRF-UHFFFAOYSA-N,0,CHEMBL153601,1,,,Drosophila melanogaster,ChEMBL
EXT_00860,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1Cl,ZIXLQHZCSCBWFZ-UHFFFAOYSA-N,1,CHEMBL2228435,2,7.08,6.075,"Drosophila melanogaster,Spodoptera frugiperda",ChEMBL
EXT_00861,NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,ZJLNEJARVJZSHY-UHFFFAOYSA-N,1,CHEMBL2324869,1,5.19,5.19,Anopheles gambiae,ChEMBL
EXT_00862,CCc1ccc(C(=O)NN(C(=O)c2ccccc2)C(C)(C)C)cc1,ZJOWBUQITMZDKJ-UHFFFAOYSA-N,1,CHEMBL2286431,2,6.96,6.109999999999999,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL
EXT_00863,CCN(CC)CC,ZMANZCXQSJIPKH-UHFFFAOYSA-N,1,CHEMBL2334360,6,9.3,7.57,Drosophila melanogaster,ChEMBL
EXT_00864,O=C(O)c1ccc2c(c1)nc(CCNC(=O)c1cccs1)n2Cc1cccc(C(F)(F)F)c1,ZMSNARUZUICOMA-UHFFFAOYSA-N,0,CHEMBL2430574,1,,,Drosophila melanogaster,ChEMBL
EXT_00865,CCCOCCCOc1ccc(Cc2ccccc2)cc1,ZNCYBYUHILEHAA-UHFFFAOYSA-N,1,CHEMBL2272156,1,9.18,9.18,Culex pipiens,ChEMBL
EXT_00866,C/N=C(\NCc1cnc(Cl)c(N=[N+]=[N-])c1)N[N+](=O)[O-],ZNYFOVSQSAVTHE-UHFFFAOYSA-N,1,CHEMBL149660,1,7.89,7.89,Drosophila melanogaster,ChEMBL
EXT_00867,CCOc1ccccc1C(=O)N(NC(=O)c1ccc(Cl)cc1)C(C)(C)C,ZOCALJCNEUANCJ-UHFFFAOYSA-N,1,CHEMBL2286435,1,5.02,5.02,Spodoptera littoralis,ChEMBL
EXT_00868,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,1,CHEMBL101326,1,8.64,8.64,Musca domestica,ChEMBL
EXT_00869,C=C1C(C)=C(C(=O)c2ccccc2)C(=O)N1c1cccc(C(F)(F)F)c1,ZOXGWDGGTQZPRO-UHFFFAOYSA-N,0,CHEMBL1254303,1,4.76,4.76,Lucilia cuprina,ChEMBL
EXT_00870,CCCOC(C)CCOc1ccc(Oc2ccccc2)cc1,ZPMJMWIXTWONEW-UHFFFAOYSA-N,1,CHEMBL2272152,1,9.6,9.6,Culex pipiens,ChEMBL
EXT_00871,CCCCN(CCCC)Cc1cccnc1,ZQTJXFGUXQBJSN-UHFFFAOYSA-N,0,CHEMBL2286838,1,,,Musca domestica,ChEMBL
EXT_00872,Cc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,ZQWXQVGEFHMWBM-UHFFFAOYSA-N,1,CHEMBL2287954,1,6.5,6.5,Musca domestica,ChEMBL
EXT_00873,COc1ccc(-c2ccc(OCC(=O)NCCCN3CCCCC3)cc2)cc1,ZRDFCDGVKGMYOD-UHFFFAOYSA-N,1,CHEMBL4290992,3,5.41,5.35,"Aedes aegypti,Anopheles gambiae",ChEMBL
EXT_00874,CC(C)(C)N(NC(=O)c1ccc(Br)cc1)C(=O)c1ccccc1Cl,ZRDWAFJNMTVKIX-UHFFFAOYSA-N,1,CHEMBL2286426,4,7.69,5.955,"Drosophila melanogaster,Spodoptera frugiperda,Spodoptera littoralis",ChEMBL
EXT_00875,CC1CCc2ccccc2N1C(=O)c1ccc(Cl)cc1,ZSDFNOZRKMPXSL-UHFFFAOYSA-N,0,CHEMBL2286415,1,4.26,4.26,Spodoptera littoralis,ChEMBL
EXT_00876,Cc1cc(Br)cc(C(=O)NC(C)C)c1NC(=O)c1cc(C(F)(F)F)nn1-c1ncccc1Cl,ZSYAVZSUKTVVLJ-UHFFFAOYSA-N,1,CHEMBL398818,2,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
EXT_00877,CCOP(=O)(OCC)SCCCCSP(=O)(OCC)OCC,ZTKWGESWIBSOPZ-UHFFFAOYSA-N,1,CHEMBL2252840,2,5.09,5.09,"Drosophila melanogaster,Musca domestica",ChEMBL
EXT_00878,CCc1ccccc1C(=O)N(NC(=O)c1ccccc1)C(C)(C)C,ZTRFLUQOXMKABJ-UHFFFAOYSA-N,0,CHEMBL2286741,1,4.01,4.01,Drosophila melanogaster,ChEMBL
EXT_00879,CCc1ccc(C(=O)NN(C(=O)c2cccc3ccccc23)C(C)(C)C)cc1,ZWMFZYFOLFXETA-UHFFFAOYSA-N,0,CHEMBL2286703,1,4.98,4.98,Drosophila melanogaster,ChEMBL
LIC_00005,c1cncc(CN2CCCC2)c1,YFCWBKBNFCDPDF-UHFFFAOYSA-N,0,CHEMBL148489,2,4.79,4.79,Musca domestica,ChEMBL
LIC_00034,c1cncc(C2CCCCN2)c1,MTXSIJUGVMTTMU-UHFFFAOYSA-N,1,CHEMBL280963,2,5.43,5.43,Musca domestica,ChEMBL
LIC_00280,O=C(O)CCc1nc(-c2ccccc2)no1,UBSBRLFVQKHLPG-UHFFFAOYSA-N,0,CHEMBL1313027,1,,,Aedes aegypti,ChEMBL
LIC_00370,O=C1Cc2ccccc2N1,JYGFTBXVXVMTGB-UHFFFAOYSA-N,0,CHEMBL40823,2,4.29,4.29,Plutella xylostella,ChEMBL
LIC_00386,COc1ccc(-c2noc(CCC(=O)O)n2)cc1,WRFNXLGYERRRTO-UHFFFAOYSA-N,0,CHEMBL1421066,1,,,Aedes aegypti,ChEMBL
LIC_01844,NC(=S)N/N=C/c1ccc(O)cc1,IKDRFCOUGSBGNI-BJMVGYQFSA-N,1,CHEMBL242113,1,5.3,5.3,Aedes aegypti,ChEMBL
REP_00005,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,KAATUXNTWXVJKI-UHFFFAOYSA-N,1,CHEMBL373204,2,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
REP_00007,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,JUVIOZPCNVVQFO-HBGVWJBISA-N,0,CHEMBL429023,2,,,Drosophila melanogaster,ChEMBL
REP_00011,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,1,CHEMBL1525,2,,,Culex quinquefasciatus,ChEMBL
REP_00264,Cn1cccc1-c1cccnc1,RYFOJXFXERAMLS-UHFFFAOYSA-N,0,CHEMBL1522291,1,,,Musca domestica,ChEMBL
REP_00324,CCCCCCCCC(C)=O,ZAJNGDIORYACQU-UHFFFAOYSA-N,0,CHEMBL47127,1,,,Drosophila melanogaster,ChEMBL
