compound_id,canonical_smiles,p_repellent,p_insecticidal,repel_lower_90,repel_upper_90,insect_lower_90,insect_upper_90,Category
LIC_00005,c1cncc(CN2CCCC2)c1,0.6470588235294118,0.125,0.08102108768035521,1.0,0.0,0.7701612903225806,Holy Grail (Safe Repellent)
LIC_00280,O=C(O)CCc1nc(-c2ccccc2)no1,1.0,0.125,0.4339622641509434,1.0,0.0,0.7701612903225806,Holy Grail (Safe Repellent)
LIC_00386,COc1ccc(-c2noc(CCC(=O)O)n2)cc1,1.0,0.125,0.4339622641509434,1.0,0.0,0.7701612903225806,Holy Grail (Safe Repellent)
