feature,mean_abs_shap
mfp_102,0.008932522500065224
VSA_EState2,0.008717615374722246
mfp_1452,0.00722526794539449
mfp_1750,0.007042433627006612
mfp_718,0.006862362283741417
SMR_VSA7,0.0067965813150343375
SMR_VSA1,0.006523640234041983
MolLogP,0.006414806905260769
MaxPartialCharge,0.006328451742146002
mfp_193,0.006197731771068021
PEOE_VSA3,0.005618241913202796
NumHeteroatoms,0.005586461600482359
PEOE_VSA7,0.0054848882662641655
BalabanJ,0.005365473949234341
Chi1v,0.005001191984133799
PEOE_VSA1,0.00491834067787891
mfp_1617,0.004752036420978395
Kappa1,0.00467856564206396
MinAbsPartialCharge,0.004567180135192585
PEOE_VSA8,0.004547735330006329
Kappa2,0.004520913114849883
VSA_EState1,0.00451554580667271
MolMR,0.004514479456713107
MolWt,0.004511954802957736
Chi1n,0.004507000143981747
PEOE_VSA2,0.004371881563167198
LabuteASA,0.004253070657733418
MaxAbsPartialCharge,0.004152848256787619
TPSA,0.004013360154168552
mfp_1683,0.004009744445946958
ExactMolWt,0.003942718510057211
MinPartialCharge,0.0038798998218252485
SlogP_VSA2,0.0038751840243914292
HallKierAlpha,0.0038213524298499296
Kappa3,0.0037223650069042194
mfp_1325,0.003648175412701684
SlogP_VSA5,0.0036242056620130482
PEOE_VSA6,0.0036106404776140083
EState_VSA1,0.0036014530979887665
mfp_1088,0.003447445900857534
SlogP_VSA3,0.0034129158283409977
mfp_561,0.003334282263391176
Chi0n,0.0033307678842526226
mfp_1034,0.0032924661202516164
Chi0v,0.003280339046566347
FractionCSP3,0.003219319222660676
mfp_1956,0.0032094518715006628
BertzCT,0.003056395757421729
NumRotatableBonds,0.0029031327954192237
mfp_1039,0.002902006212660544
Chi1,0.0028524694451012964
mfp_322,0.0027866982391170094
NumValenceElectrons,0.0027176999841320845
SMR_VSA5,0.002680995595330298
EState_VSA2,0.002554984440424196
HeavyAtomCount,0.0025490342652182306
Chi0,0.0025453412511487264
mfp_656,0.0023633705725632477
NumAromaticRings,0.0022985634098903257
mfp_1308,0.00229122958025259
mfp_314,0.0022840914367764113
mfp_427,0.002243639026825291
mfp_1089,0.002158989580883888
mfp_926,0.0021117850894347753
NOCount,0.0020755832220955652
mfp_1663,0.002035735026240839
mfp_1234,0.0020322953424319135
mfp_1516,0.0019112031588334904
mfp_1469,0.0019038144410537354
NumHAcceptors,0.001898506968744305
mfp_695,0.001832164965386095
mfp_488,0.0018142694628851415
mfp_1855,0.0018121571047479714
mfp_1873,0.0016732634253238303
mfp_577,0.0016678890108508219
mfp_1252,0.0016074852963663937
mfp_1249,0.001596250405597181
NumHDonors,0.0015892819247320833
mfp_366,0.0015333544047957354
mfp_715,0.0014882625334703286
mfp_1722,0.0014765649538746762
NumSaturatedRings,0.001442632850783903
mfp_694,0.001430200371089954
mfp_1380,0.0013980068251118261
mfp_1384,0.0013364418279320223
mfp_1145,0.0013325704946397223
mfp_650,0.001332210025868252
mfp_1665,0.0013317411671615144
NHOHCount,0.0013146709799043048
mfp_1292,0.001311201752521067
mfp_1586,0.0012996973655408095
mfp_750,0.0012808144790045644
mfp_935,0.0012712727042647443
mfp_1679,0.001262997272650053
mfp_426,0.0012468513311952672
mfp_130,0.001233096948862412
RingCount,0.001228407601875794
mfp_735,0.001203259769272415
mfp_1745,0.0011978860401005878
mfp_1955,0.0011857752538072118
mfp_933,0.0011673569145247667
mfp_838,0.0011642213610819638
mfp_305,0.0011371428941360253
mfp_374,0.001125988785524086
mfp_807,0.001105607586586351
mfp_896,0.0010800915520618925
mfp_1793,0.0010778824188511346
NumSaturatedHeterocycles,0.0010746229028846916
NumAliphaticRings,0.0010639728415409613
mfp_43,0.001056377905689196
mfp_80,0.0010523572863632526
mfp_1,0.0010395459335374993
mfp_1900,0.001035722675539212
mfp_1480,0.0009941987598276495
mfp_940,0.0009845873607838807
mfp_473,0.0009839198934178206
mfp_1291,0.0009806959284155959
mfp_1755,0.000978257023266107
mfp_1765,0.0009765162790586333
mfp_1921,0.0009476679385591742
mfp_283,0.0009454842960700473
mfp_210,0.0009188865695968507
mfp_1066,0.0009046277686289617
mfp_1850,0.0009041097296321726
mfp_758,0.0009031942467860283
mfp_674,0.0008978732517660162
mfp_790,0.0008946024817211255
mfp_1917,0.0008888085445212841
mfp_1590,0.0008836212316231471
NumAromaticHeterocycles,0.0008819007062354914
mfp_229,0.0008589927004060152
mfp_1535,0.0008556918750447787
mfp_1143,0.0008501955348373667
mfp_1043,0.000835505590607149
mfp_1447,0.000830766966939758
mfp_464,0.0008216957501588312
mfp_1963,0.0008111051803237091
mfp_1564,0.0008110198192987015
mfp_682,0.0008110038277023854
mfp_753,0.000803700140585829
mfp_974,0.0008025089669041362
mfp_357,0.000785499594548424
mfp_725,0.0007844810867843366
mfp_610,0.000760043658994214
mfp_930,0.0007597709902156847
mfp_1843,0.0007540084616984845
mfp_1013,0.0007404092952587162
mfp_875,0.0007329645175576265
mfp_1857,0.0007283111648373869
mfp_1279,0.0007270206847860581
mfp_1138,0.0007242897431260382
mfp_114,0.0007213416861602167
mfp_97,0.0007093028667361315
mfp_1385,0.0007083644234006247
mfp_1214,0.0007055149566518095
mfp_1911,0.0007017754229941584
mfp_1257,0.0006960429708164879
mfp_507,0.0006853028703586504
mfp_1922,0.0006761039566365695
mfp_1764,0.0006675071810368107
