compound_id,molecule_id,xtb_method,xtb_version,xtb_charge,xtb_multiplicity,xtb_uhf,xtb_solvent,xtb_opt_level,xtb_converged,xtb_energy_Eh,xtb_gradient_norm_Eh_per_bohr,xtb_cycles,xtb_wall_time_s,mmff_to_xtb_rmsd_A,xtb_input_geometry_path,xtb_optimized_geometry_path,xtb_status,xtb_message,dft_start_geometry_source,dft_converged,status,opt_status,opt_converged,dft_total_energy_hartree,d_av_A,ECN,Rg_A,HCM,HD_A,dQ_A,alignment_RMSD_A,hoppe_converged,descriptor_status
REP_00376,REP_00376,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-32.498627329227,0.000105157794,12.0,2.2714784145355225,0.034643735902949085,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00376/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00376/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-493.12085200805257,1.1522010541297785,1.4014483705153167,3.099296433917821,0.5399145166185493,4.925991266223921,9.123650345753056,2.401260684366516,True,success
DEC_00005,DEC_00005,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-14.622853892067,0.000262492718,6.0,0.41786646842956543,0.021927853519241827,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00005/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00005/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-241.70811118166625,1.1949131852428159,1.4922125140668305,1.6274164989943487,0.3257048138786035,1.063953616686611,3.2666192556895,0.9686462447225008,True,success
DEC_00006,DEC_00006,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-18.616869419676,0.000110437488,8.0,1.8704020977020264,0.06081463777972155,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00006/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00006/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-266.04515834992685,1.085675256987877,1.2396698607193586,1.8908043432748938,0.2513263514503094,1.2377844423838507,4.925008600336034,0.5844552141934106,True,success
DEC_00007,DEC_00007,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-18.618909309222,0.000204537972,7.0,1.4690308570861816,0.03355962417430404,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00007/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00007/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-266.0426144502952,1.0838752907539149,1.2414969955012565,1.9548905826138374,0.3173434349462607,1.70351703944835,5.368055084349943,1.210545013118721,True,success
DEC_00008,DEC_00008,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-17.720572648701,6.8605381e-05,6.0,1.3686308860778809,0.020044126565968306,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00008/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00008/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-230.741453589612,1.0937502546224624,1.3389424381802588,2.228020368225312,0.6999037260047973,4.6473972445763,6.640052155608107,1.600487756023209,True,success
DEC_00009,DEC_00009,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-17.722800019338,0.00019595173,9.0,1.8697736263275146,0.05904816780567198,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00009/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00009/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-230.74333883862093,1.093025936319431,1.338682407954533,2.0221771882946897,0.367515376092661,1.9753408391131777,5.374852230985673,0.6817063652629811,True,success
DEC_00010,DEC_00010,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-17.731827106179,0.000322163118,6.0,1.0684211254119873,0.03357008479591806,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00010/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00010/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-230.75101027013585,1.117411051030305,1.6039269520561907,1.9376908683240854,0.4517883710060019,1.9558437794931767,4.329114924180272,1.241588525187665,True,success
DEC_00011,DEC_00011,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-17.789234958567,0.000106299295,7.0,0.5169932842254639,0.02389372145365829,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00011/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00011/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_failed: SCF did not converge during geometry optimization,False,-280.5169511845341,1.1256252522071688,1.42906610345641,1.843922895175267,0.39518619617410633,1.5883722326756495,4.019300896774906,1.5738231050699596,True,success
DEC_00012,DEC_00012,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-16.983466490508,0.00024624763,11.0,2.4702248573303223,0.08988296169021688,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00012/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00012/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-245.31087569179167,1.1519510867798766,1.5998089598352945,1.9637511646966208,0.9294320075948785,4.002621234486683,4.306523986455336,1.7578793194287965,True,success
DEC_00013,DEC_00013,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-13.967341778996,0.000296708901,6.0,0.5175950527191162,0.02488026650911988,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00013/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00013/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-207.52059137470994,1.1070434930101842,1.2433037810893537,1.850718221783093,0.3098707060308792,1.3952411394380089,4.502655824777998,1.8750023765423407,True,success
DEC_00014,DEC_00014,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-15.879640657421,6.209965e-06,5.0,1.1191935539245605,0.013734121489728118,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00014/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00014/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,optimized,True,-229.42666911413727,1.113379808447004,1.1412347770624554,2.0335379315507334,7.378281670320321e-06,3.699811672454127e-05,5.0144624965144535,2.608747829246034e-05,True,success
DEC_00015,DEC_00015,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-17.931438903734,9.8720924e-05,7.0,1.4684820175170898,0.06477834839963145,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00015/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00015/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-231.85979514461997,1.1089558668369484,1.2985836722504929,2.055488193835825,0.31575194486200747,1.5885480694531684,5.031000110379079,0.8602091953726401,True,success
DEC_00016,DEC_00016,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-18.986715862818,7.484274e-05,6.0,1.3689000606536865,0.04880627871608177,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00016/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/DEC_00016/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-233.11449174213155,1.1050197247313294,1.336095051126359,2.048449715264356,0.17987414655214604,0.9037821057270307,5.024524774965488,0.6374525295218589,True,success
