compound_id,atom_index,element,x_A,y_A,z_A,d_av_i_A,ECN_i
REP_00001,0,C,5.1599355052400675,-1.0954156025805413,-0.1759070291966729,1.0994915635650966,3.0074915230779373
REP_00001,1,C,3.9010206519928476,-1.8559881990160465,0.21187516146732743,1.4224677025511778,2.5950876827291527
REP_00001,2,C,2.934179613450608,-2.0789844380016254,-0.9398530700410389,1.099865552558098,3.0081317613001888
REP_00001,3,C,3.6194053926373737,-2.3009107694725706,1.4386141235441068,1.1249690653993853,1.345486835575121
REP_00001,4,C,4.483582489331207,-2.1116435740289132,2.671569849570798,1.0989699538782285,2.011561186286978
REP_00001,5,C,4.202565681766192,-0.7274945169893049,3.327420474401798,1.0992448811163038,2.011586489389094
REP_00001,6,C,2.7332743801260717,-0.6205545493767606,3.6936471639655797,1.4206104708563456,2.5796464478394387
REP_00001,7,C,2.2927215535722394,-1.357943199577199,4.952977458455868,1.0990530071055387,3.007224093500238
REP_00001,8,C,1.898313717005486,0.06216229453714491,2.911044280348848,1.1286395845324206,1.3722955789187063
REP_00001,9,C,0.41137017300820206,0.1923485621223208,3.1422831222356873,1.1117162834094816,2.042176892163273
REP_00001,10,O,-0.20897531182063234,-0.1271855300675245,1.832898127104748,1.4457981603716334,1.9664878742162377
REP_00001,11,C,-1.0457334804346554,0.9353040187947078,1.4102272961690108,1.3439402062370511,2.5025733753032537
REP_00001,12,O,-1.3503835224529113,1.9963800432189895,2.0215438710287588,1.2619040900198837,1.0000000000020521
REP_00001,13,C,-1.4393140908067326,0.5450402334831146,0.03385610502029367,1.4141749128477716,2.9076444548458698
REP_00001,14,C,-0.763345629032576,-0.227561539918859,-0.8927200338336305,1.1036246106534395,1.203792643621619
REP_00001,15,C,-1.4612658142094817,-0.04214674401602732,-2.1193106594080997,1.4175532301966716,2.9548648421867734
REP_00001,16,C,-1.1749113279362704,-0.6282816998358012,-3.422688341807984,1.419852337785094,2.970084130623957
REP_00001,17,C,-1.9645622047534652,-0.25133043224181256,-4.526669910527988,1.1242306121135903,1.295156367733354
REP_00001,18,C,-1.6979932780570741,-0.7983156658601418,-5.779383018034601,1.1198383245747177,1.282850426992466
REP_00001,19,C,-0.6491858418552257,-1.718251771202559,-5.935993427174842,1.1196997011457508,1.267607682815942
REP_00001,20,C,0.1285978218485935,-2.0903594504606398,-4.832679331333985,1.1188191673918737,1.2826848390301093
REP_00001,21,C,-0.13032306277826983,-1.5498111768955716,-3.574535706450145,1.119262277702055,1.2830034575037124
REP_00001,22,N,-2.544491772721832,0.8141583604434925,-2.033220440433368,1.399005734591456,1.990570945352309
REP_00001,23,N,-2.486990889480659,1.1624868634548238,-0.660982079194626,1.4139438852429924,2.994674490324332
REP_00001,24,C,-3.52370718529269,2.0119802101561306,-0.1750309222497402,1.4093286883500473,2.9936340388193803
REP_00001,25,C,-4.04557985831698,1.80996684057206,1.1075172507536684,1.105235500142616,1.246564371489611
REP_00001,26,C,-5.059702528208839,2.6468668457155777,1.5302273883402315,1.1165656376491822,1.3045151074503778
REP_00001,27,C,-5.506589583125795,3.621901015102862,0.6361900421140827,1.425336902755249,2.817565239064935
REP_00001,28,N,-6.633504967559116,4.546265910516518,1.1075705658409483,1.3458410860427834,2.5403261559059342
REP_00001,29,O,-7.026523529425833,5.4554546517652724,0.2347720349073744,1.3201761370306342,1.0000000000000964
REP_00001,30,O,-7.079879313846139,4.322040370508167,2.3294046665392436,1.32000216645446,1.0000000000001061
REP_00001,31,C,-5.019009785769059,3.811123354157275,-0.6612235839958751,1.1181029222688514,1.3079626061409906
REP_00001,32,C,-3.998973662023016,2.9782838503317546,-1.0769012035022505,1.111192687083812,1.2652453185028831
REP_00001,33,H,4.8967237418489775,-0.04967578904672973,-0.4013478539436548,1.1016695803476728,1.0000003411863305
REP_00001,34,H,5.904723476126067,-1.1128519002096722,0.627256745019671,1.0954840182147692,1.0000001258948272
REP_00001,35,H,5.588312320435668,-1.543057846558965,-1.085305612768875,1.1004072639898852,1.0000002777447798
REP_00001,36,H,2.0251107245575004,-2.577686527191336,-0.5814374887369304,1.0970741919892186,1.0000001109728212
REP_00001,37,H,3.414983365994935,-2.7030670760757927,-1.7087802639506111,1.100863527898933,1.0000002821429093
REP_00001,38,H,2.676099527311354,-1.1109810349775635,-1.395673338727567,1.1006398665722255,1.0000002492107345
REP_00001,39,H,2.665901933139074,-2.808608094956518,1.604858976667543,1.0929605540772331,1.0
REP_00001,40,H,5.551275223847224,-2.16100890028229,2.421835921592923,1.0976209615196904,1.0000000932381337
REP_00001,41,H,4.24512627664689,-2.9094110812143223,3.388616021762619,1.0988401191514054,1.0000001053589427
REP_00001,42,H,4.817441706213489,-0.6277118660048875,4.232079020382806,1.0983788991313646,1.0000000576100896
REP_00001,43,H,4.458178868753999,0.06711702606958404,2.613113076016316,1.0986267263987017,1.0000000591021898
REP_00001,44,H,3.1374192556594838,-1.9234826347815457,5.36648342270849,1.0974225724932665,1.0000001873155193
REP_00001,45,H,1.470416525566838,-2.0520790215903664,4.727822068238856,1.09941126162112,1.0000002323625352
REP_00001,46,H,1.9472730254252169,-0.6329680940646604,5.703823866472623,1.0994062016709716,1.0000002471369533
REP_00001,47,H,2.2716785372913195,0.5633123544324159,2.0123309912540828,1.094640693358162,1.0
REP_00001,48,H,0.1363849407186132,1.2205303756951036,3.4758228688865667,1.1153580169648636,1.0000000721010158
REP_00001,49,H,0.024774203276217627,-0.5590937454816688,3.8511473105201266,1.1030006479148717,1.0000000198100647
REP_00001,50,H,0.12429088370813242,-0.8107569443370707,-0.6874138252038218,1.0817421586436178,1.0
REP_00001,51,H,-2.7760713445730536,0.46638430374270057,-4.377627310579775,1.093560799800071,1.0
REP_00001,52,H,-2.305768668141116,-0.5089772145488984,-6.637117908302363,1.0903287605954675,1.0
REP_00001,53,H,-0.4405927951378608,-2.1450282223561663,-6.918718100505959,1.0915113292915706,1.0
REP_00001,54,H,0.941671820743258,-2.8058588930129202,-4.949449032895139,1.0893410591609343,1.0
REP_00001,55,H,0.4707428185089532,-1.8400416097568255,-2.7131218862918574,1.0897466069532455,1.0
REP_00001,56,H,-3.677389865803893,1.0222530294472678,1.746913150890308,1.0792979365935411,1.0
REP_00001,57,H,-5.514782646067027,2.56282050034376,2.5119296489955594,1.085311490041436,1.0
REP_00001,58,H,-5.437779632898952,4.593543391355207,-1.2881163166978824,1.0865283235096073,1.0
REP_00001,59,H,-3.570170464238875,3.056771582382566,-2.068824550459441,1.0834871631685998,1.0
REP_00002,0,C,3.153526270694492,-2.246813381241751,0.46432360508213266,1.0995987121797852,3.008061772806955
REP_00002,1,C,3.9479155322761033,-1.9683833389936316,-0.8013641216994416,1.4223175054424344,2.5953462675045764
REP_00002,2,C,5.429109974315798,-1.720408253609201,-0.561584476442315,1.0993184179573101,3.0075073209278638
REP_00002,3,C,3.3489330448110093,-1.944897392592598,-1.9940392185831037,1.1245540440556134,1.344236923803667
REP_00002,4,C,4.019687955154781,-1.6403033323825773,-3.3203810001550087,1.0988533052876925,2.0115536050886935
REP_00002,5,C,4.091590020007599,-0.10305468054810286,-3.560775735357858,1.0989535295352433,2.010703719904215
REP_00002,6,C,2.6938712048345463,0.49654772795730395,-3.5212669914873542,1.4198770627856534,2.5833789938606184
REP_00002,7,C,1.942385656121179,0.46404320507578345,-4.840033523186076,1.0990853305880528,3.008207311462184
REP_00002,8,C,2.2223610770589124,0.9831419387545087,-2.374463732966791,1.1310259902667994,1.38672659865313
REP_00002,9,C,0.8471959856367163,1.5488930373457441,-2.1311907318179677,1.114203335077423,2.0503118319885525
REP_00002,10,O,0.43785801831093496,0.8432380447100971,-0.8946161655557294,1.4456134902033193,1.9689221466972533
REP_00002,11,C,-0.8120457554370223,1.35678670669997,-0.46448440317671547,1.3438387731645325,2.5104676117814866
REP_00002,12,O,-1.5098573045215555,2.2556066988601113,-1.009149950750648,1.2615383050294289,1.0
REP_00002,13,C,-1.0774674323563973,0.6365929780649924,0.8010197389288056,1.4141358839029112,2.9169313426783385
REP_00002,14,C,-0.199897766912313,-0.022471835058601945,1.6475126035615146,1.104256841626149,1.2094083012863313
REP_00002,15,C,-0.9446872671809261,-0.31336240157138034,2.816195240031148,1.4205439797932364,2.867626060983583
REP_00002,16,C,-0.48319242448195604,-1.0626034641390918,4.035747851856401,1.0989973803909132,1.0199481387294882
REP_00002,17,C,-1.064606062195163,-2.4965821629002654,3.9889126170456146,1.0979069762683873,3.0033721652012084
REP_00002,18,C,-0.9507487707784945,-0.3217719890496814,5.30938409817537,1.0979134571581524,3.003678749965659
REP_00002,19,N,-2.2525502085539624,0.11767571801616154,2.779187829758723,1.3977182331827827,1.9831839137961442
REP_00002,20,N,-2.2917439609629953,0.7172058768322648,1.4901560992598983,1.414851034045656,2.9927829491982583
REP_00002,21,C,-3.548580885932865,1.2493967603187097,1.078122118322686,1.4093035004789705,2.9935835923738856
REP_00002,22,C,-4.328572551657117,1.8328122168412477,2.090223806483339,1.1109644714763038,1.2638907575542584
REP_00002,23,C,-5.565842246644294,2.342932608592178,1.7493988646745977,1.1181095667047904,1.3088633561872793
REP_00002,24,C,-5.95254393723034,2.233006469271145,0.4101951817403047,1.4246157855407315,2.8217647326850046
REP_00002,25,N,-7.317165472909737,2.8046590847214317,0.022086265226859008,1.345621228162161,2.547022221464417
REP_00002,26,O,-7.9970123119707655,3.372942205981768,1.0002035457936054,1.3197919703627512,1.0000000000000917
REP_00002,27,O,-7.656601439150152,2.661484046261715,-1.2451120383690766,1.3196618534503333,1.0000000000000966
REP_00002,28,C,-5.199049676420001,1.6284152010521695,-0.5972377771708747,1.116570445399049,1.3047853910407972
REP_00002,29,C,-3.96582477766456,1.1114454521042239,-0.2502620480059516,1.105051342131366,1.2452950447217488
