compound_id,mol_name,canonical_smiles,inchikey,mol_formula,mol_weight,num_heavy_atoms,source_dataset,repellent_active,target_species,assay_type,scaffold_smiles,qc_status,sdf_Acceptor,sdf_Activity,sdf_CAS,sdf_Chemical_Name,sdf_Collection,sdf_Database,sdf_Description,sdf_Donor,sdf_FSP3,sdf_HAC,sdf_IDNUMBER,sdf_MW,sdf_Molecular Formula,sdf_Molecular Target,sdf_Molecule Name,sdf_Molecule Name 2,sdf_PriceCoeff,sdf_PubChem CID,sdf_Reference DOI,sdf_Reference_compound,sdf_RotBonds,sdf_Similarity,sdf_Smiles,sdf_TPSA,sdf_clogP
LIC_02274,F1420-1251,CCN(CC)S(=O)(=O)c1ccc2nc(NC(=O)c3ccc(N4C(=O)CCC4=O)cc3)sc2c1,FFQVKFWWFGBGPD-UHFFFAOYSA-N,C22H22N4O5S2,486.1032,33,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)C1CCC(C2C(C)CCC2C)CC1,pass,6.0,,865592-59-2,"N-[6-(diethylsulfamoyl)-1,3-benzothiazol-2-yl]-4-(2,5-dioxopyrrolidin-1-yl)benzamide",General,,solid,1.0,0.27,33.0,F1420-1251,486.56,,,,,1.0,,,,7.0,,,153.37,1.95
LIC_02275,F2874-0132,Cn1nc(-c2ccc(NC(=O)c3ccc(Cl)c([N+](=O)[O-])c3)cc2)ccc1=O,BSFZUYGJKMDZRY-UHFFFAOYSA-N,C18H13ClN4O4,384.0625,27,insecticide,,nan,nan,CC1CCC(C2CCC(CC(C)C3CCCCC3)CC2)CC1,pass,5.0,,941998-06-7,"4-chloro-N-[4-(1-methyl-6-oxo-1,6-dihydropyridazin-3-yl)phenyl]-3-nitrobenzamide",General,,solid,2.0,0.06,27.0,F2874-0132,384.77,,,,,1.0,,,,4.0,,,104.91,2.66
LIC_02276,F1280-0014,COc1ccc(NC(=S)N2CCN(c3ccc(OC)cc3)CC2)cc1,DSSZJSDNRRYQAF-UHFFFAOYSA-N,C19H23N3O2S,357.1511,25,insecticide,,nan,nan,CC(CC1CCCCC1)C1CCC(C2CCCCC2)CC1,pass,4.0,,496775-76-9,"N,4-bis(4-methoxyphenyl)piperazine-1-carbothioamide",General,,solid,3.0,0.32,25.0,F1280-0014,357.47,,,,,1.0,,,CHEMBL4087841,5.0,0.827,,69.06,3.54
LIC_02277,F2748-0227,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(Cl)c([N+](=O)[O-])c1,FZNSBZKCIBLUAE-UHFFFAOYSA-N,C15H10ClN3O6S,394.9979,26,insecticide,,nan,nan,CC(CC1CCCCC1)CC1C(C)C2CCCCC2C1(C)C,pass,6.0,,485355-27-9,"N-(4-chloro-3-nitrophenyl)-2-(1,1,3-trioxo-2,3-dihydro-1lambda6,2-benzothiazol-2-yl)acetamide",General,,solid,1.0,0.07,26.0,F2748-0227,395.77,,,,,1.0,,,,4.0,,,135.07,2.56
LIC_02278,F1365-3012,C#CCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(S(N)(=O)=O)ccc21,XDWROAMCUAQPOX-VLGSPTGOSA-N,C16H14N4O5S2,406.0406,27,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,pass,5.0,,1164484-77-8,"2-(2,5-dioxopyrrolidin-1-yl)-N-[(2Z)-3-(prop-2-yn-1-yl)-6-sulfamoyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]acetamide",General,,solid,1.0,0.25,27.0,F1365-3012,406.44,,,,,1.0,,,,6.0,,,163.89,1.04
LIC_02279,F3139-0992,COc1ccc(C(=O)COc2ccc3c(=O)c(-c4ccccc4OC)coc3c2)cc1,FDQPCYZUZHTDAR-UHFFFAOYSA-N,C25H20O6,416.126,31,insecticide,,nan,nan,CC(CCC1CCC2C(CCC(C3CCCCC3)C2C)C1)C1CCCCC1,pass,6.0,,610763-97-8,3-(2-methoxyphenyl)-7-[2-(4-methoxyphenyl)-2-oxoethoxy]-4H-chromen-4-one,General,,solid,0.0,0.12,31.0,F3139-0992,416.42,,,,,1.0,,,CHEMBL44,7.0,0.823,,71.06,3.64
LIC_02280,F0349-0205,CCc1ccccc1NC(=S)NC(=O)c1ccccc1,ZTPPYNJAOQGWKB-UHFFFAOYSA-N,C16H16N2OS,284.0983,20,insecticide,,nan,nan,CC(CC1CCCCC1)CC(C)C1CCCCC1,pass,2.0,,88884-36-0,1-benzoyl-3-(2-ethylphenyl)thiourea,General,,solid,2.0,0.12,20.0,F0349-0205,284.38,,,,,1.0,,,CHEMBL2069967,3.0,0.814,,73.22,3.03
LIC_02281,F3139-0618,O=c1cc(-c2ccc(Cl)cc2)oc2ccc(Cl)cc12,JSKLFWYOKPWRSQ-UHFFFAOYSA-N,C15H8Cl2O2,289.9901,19,insecticide,,nan,nan,CC1CC(C2CCCCC2)CC2CCCCC12,pass,2.0,,36768-56-6,6-chloro-2-(4-chlorophenyl)-4H-chromen-4-one,General,,solid,0.0,0.0,19.0,F3139-0618,291.13,,,,,1.0,,,CHEMBL275638,1.0,0.893,,26.3,4.91
LIC_02282,F3139-0639,Cc1ccc(-c2cc(=O)c3cc(Cl)cc(Cl)c3o2)cc1,KHSBMBLDPBPFIQ-UHFFFAOYSA-N,C16H10Cl2O2,304.0058,20,insecticide,,nan,nan,CC1CC(C2CCCCC2)CC2CCCCC12,pass,2.0,,88953-00-8,"6,8-dichloro-2-(4-methylphenyl)-4H-chromen-4-one",General,,solid,0.0,0.06,20.0,F3139-0639,305.16,,,,,1.0,,,CHEMBL275638,1.0,0.814,,26.3,5.41
LIC_02283,F3385-2966,COc1ccc(-c2coc3cc(OCc4ccccc4C)ccc3c2=O)cc1OC,XQQCMODAEUSHNT-UHFFFAOYSA-N,C25H22O5,402.1467,30,insecticide,,nan,nan,CC1C(C2CCCCC2)CCC2CC(CCC3CCCCC3)CCC21,pass,5.0,,859138-24-2,"3-(3,4-dimethoxyphenyl)-7-[(2-methylphenyl)methoxy]-4H-chromen-4-one",General,,solid,0.0,0.16,30.0,F3385-2966,402.44,,,,,1.0,,,CHEMBL455048,6.0,0.852,,53.99,4.97
