compound_id,mol_name,canonical_smiles,inchikey,mol_formula,mol_weight,num_heavy_atoms,source_dataset,repellent_active,target_species,assay_type,scaffold_smiles,qc_status,sdf_Acceptor,sdf_Activity,sdf_CAS,sdf_Chemical_Name,sdf_Collection,sdf_Database,sdf_Description,sdf_Donor,sdf_FSP3,sdf_HAC,sdf_IDNUMBER,sdf_MW,sdf_Molecular Formula,sdf_Molecular Target,sdf_Molecule Name,sdf_Molecule Name 2,sdf_PriceCoeff,sdf_PubChem CID,sdf_Reference DOI,sdf_Reference_compound,sdf_RotBonds,sdf_Similarity,sdf_Smiles,sdf_TPSA,sdf_clogP
REP_00001,Compound 1,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1-c1ccc([N+](=O)[O-])cc1,FOZBUHJBPFKESM-CAPFRKAQSA-N,C26H27N3O4,445.2002,33,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCC(C3CCCCC3)C2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C26H27N3O4,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-(4-nitrophenyl)-5-phenylpyrazole-3-carboxylate",,,52920578,10.1021/jf104712c,,,,CC(C)=CCC/C(\C)=C/COC(c1cc(-c2ccccc2)n[n]1-c(cc1)ccc1[N+]([O-])=O)=O,,
REP_00002,Compound 2,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1-c1ccc([N+](=O)[O-])cc1,CHSUSWDWCXKNKB-QGOAFFKASA-N,C23H29N3O4,411.2158,30,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCCC2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C23H29N3O4,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-(4-nitrophenyl)-5-propan-2-ylpyrazole-3-carboxylate",,,52920575,10.1021/jf104712c,,,,CC(C)c(cc1C(OC/C=C(\C)/CCC=C(C)C)=O)n[n]1-c(cc1)ccc1[N+]([O-])=O,,
REP_00003,Compound 3,CCCOC(=O)CC(O)(CC(=O)OCCC)C(=O)OCCC,ODHUFJLMXDXVRC-UHFFFAOYSA-N,C15H26O7,318.1679,22,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C15H26O7,Aedes aegypti,"Citric acid, tri-n-propyl ester",,,74113,10.3390/toxics11100837,,,,CCCOC(CC(CC(OCCC)=O)(C(OCCC)=O)O)=O,,
REP_00004,Compound 4,CCOC(=O)N(C(=O)OCC)C(=O)OCC,WMXDFLUIDJYHMF-UHFFFAOYSA-N,C9H15NO6,233.0899,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C9H15NO6,Aedes aegypti,Dicarboethoxyurethane,,,76671,10.3390/toxics11100837,,,,CCOC(N(C(OCC)=O)C(OCC)=O)=O,,
REP_00005,Compound 5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,KAATUXNTWXVJKI-UHFFFAOYSA-N,C22H19Cl2NO3,415.0742,28,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,pass,,1.0,,,,Pubchem,,,,,,,C22H19NO3Cl2,Simulium spp.,Cypermethrin,,,2912,10.1002/ps.2780120407,,,,CC(C)(C1C=C(Cl)Cl)C1C(OC(c1cc(Oc2ccccc2)ccc1)C#N)=O,,
REP_00006,Compound 6,CC(C)(COC(=O)CCl)[N+](=O)[O-],TYKRYWSLMKDDAU-UHFFFAOYSA-N,C6H10ClNO4,195.0298,12,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,PubChem,,,,,,,C6H10NO4Cl,Aedes aegypti,"beta-Diethylaminocrotonic acid, methyl ester",,,154346602,10.3390/toxics11100837,,,,CC(C)(COC(CCl)=O)[N+]([O-])=O,,
REP_00007,Compound 7,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,JUVIOZPCNVVQFO-HBGVWJBISA-N,C23H22O6,394.1416,29,repellent,1.0,Aedes aegypti,repellency,CC1C2CCC3CCCC3C2CC2CCC3CCCCC3C21,pass,,1.0,,,,Pubchem,,,,,,,C23H22O6,Anopheles spp.,Rotenone,,,6758,10.1186/s13071-017-2122-8,,,,CC([C@@H](C1)Oc(cc2)c1c(O[C@H]1[C@@H]3c(cc(c(OC)c4)OC)c4OC1)c2C3=O)=C,,
REP_00008,Compound 8,CCCCOCCOCC(=O)NC(=O)OCCCC,OHXLMTKMPUGANV-UHFFFAOYSA-N,C13H25NO5,275.1733,19,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,No information,,,,,,,C13H25NO5,Aedes aegypti,"beta-Butoxyethoxyacetylcarbamic acid, butyl ester",,,,10.3390/toxics11100837,,,,CCCCOCCOCC(NC(OCCCC)=O)=O,,
REP_00009,Compound 9,O=C1NC(=O)c2c1cccc2[N+](=O)[O-],BONIIQYTWOPUQI-UHFFFAOYSA-N,C8H4N2O4,192.0171,14,repellent,1.0,Aedes aegypti,repellency,CC1CC(C)C2CCCCC12,pass,,1.0,,,,PubChem,,,,,,,C8H4N2O4,Aedes aegypti,3-Nitrophthalimide,,,11779,10.3390/toxics11100837,,,,[O-][N+](c(cccc1C(N2)=O)c1C2=O)=O,,
REP_00010,Compound 10,c1cc2c(cc1CCCCOCCCCc1ccc3c(c1)OCO3)OCO2,CMNIOEMEVLGZGE-UHFFFAOYSA-N,C22H26O5,370.178,27,repellent,1.0,Aedes aegypti,repellency,C(CCCCC1CCC2CCCC2C1)CCCCC1CCC2CCCC2C1,pass,,1.0,,,,Pubchem,,,,,,,C22H26O5,Aedes aegypti,"5-[4-[4-(1,3-benzodioxol-5-yl)butoxy]butyl]-1,3-benzodioxole",,,141224260,10.1371/annotation/1dc83f26-8045-4b63-8a86-24c7b71a7f79,,,,C(CCOCCCCc(cc1)cc2c1OCO2)Cc(cc1)cc2c1OCO2,,
REP_00011,Compound 11,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,C21H20Cl2O3,390.0789,26,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,pass,,1.0,,,,Pubchem,,,,,,,C21H20O3Cl2,Aleurocanthus Woglumi Ashby,Permethrin,,,40326,10.1093/milmed/163.5.324,,,,CC(C)(C1C=C(Cl)Cl)C1C(OCc1cc(Oc2ccccc2)ccc1)=O,,
REP_00012,Compound 12,C=C/C=C/CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,VJFUPGQZSXIULQ-QYVAASDLSA-N,C22H28O5,372.1937,27,repellent,1.0,Aedes aegypti,repellency,CC1CCC(CC(C)C2CC2)C1,pass,,1.0,,,,Pubchem,,,,,,,C22H28O5,Aedes aegypti,Pyrethrin,,,6433155,10.1038/s41467-021-22847-0,,,,CC(C)([C@@H]1/C=C(\C)/C(OC)=O)[C@@H]1C(O[C@@H](C1)C(C)=C(C/C=C/C=C)C1=O)=O,,
REP_00013,Compound 13,CC(C)C1OCC(C)([N+](=O)[O-])CO1,GDCZMRZHWQTAHN-UHFFFAOYSA-N,C8H15NO4,189.1001,13,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,PubChem,,,,,,,C8H15NO4,Aedes aegypti,5-Methyl-5-nitro-2-iso-propyl-m-dioxane,,,13040515,10.3390/toxics11100837,,,,CC(C)C(OC1)OCC1(C)[N+]([O-])=O,,
REP_00014,Compound 14,CC(=O)OC[C@](C)(O)C(=O)OCCC(C)C,HJOWXBVJJZTCHX-NSHDSACASA-N,C11H20O5,232.1311,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,No information,,,,,,,C11H20O5,Aedes aegypti,"alpha-Hydroxy-beta-acetoxy-isobutyric acid, iso-amyl ester",,,,10.3390/toxics11100837,,,,CC(C)CCOC(C(C)(COC(C)=O)O)=O,,
REP_00015,Compound 15,C=C(CC1CC/C(=N/OC(=O)CCCCl)C1CCCCC)OC/C=C(\C)CCC=C(C)C,MGOHLGKFUMZMJA-KZEDTELPSA-N,C27H44ClNO3,465.301,32,repellent,1.0,Aedes aegypti,repellency,CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C27H44NO3Cl,Acyrthosiphon pisum,9,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(CCCCl)=O,,
REP_00016,Compound 16,CCCCOC(=O)C[C@H](O)C(=O)OCCCC,PDSCSYLDRHAHOX-JTQLQIEISA-N,C12H22O5,246.1467,17,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C12H22O5,Aedes aegypti,"dl-Malic acid, di-n-butyl ester",,,95385,10.3390/toxics11100837,,,,CCCCOC(CC(C(OCCCC)=O)O)=O,,
REP_00017,Compound 17,CCCCOP(=O)(OCCCC)OCCCC,STCOOQWBFONSKY-UHFFFAOYSA-N,C12H27O4P,266.1647,17,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C12H27O4P,Aedes aegypti,"Phosphoric acid, tributyl ester",,,31357,10.3390/toxics11100837,,,,CCCCOP(OCCCC)(OCCCC)=O,,
REP_00018,Compound 18,CCCOC(=O)c1ccc(C(=O)OCCC)nc1,IITCWRFYJWUUPC-UHFFFAOYSA-N,C13H17NO4,251.1158,18,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,Pubchem,,,,,,,C13H17NO4,Musca domestica,Dipropyl Isocinchomeronate (MGK repellent 326),,,8693,10.1039/A704850E,,,,CCCOC(c(cc1)cnc1C(OCCC)=O)=O,,
REP_00019,Compound 19,CCOC(=O)C(C)C(C#N)C(=O)OCC,YGEGVBWONVKDHX-UHFFFAOYSA-N,C10H15NO4,213.1001,15,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,PubChem,,,,,,,C10H15NO4,Aedes aegypti,"Beta-methylcyanosuccinic acid, diethyl ester",,,249809,10.3390/toxics11100837,,,,CCOC(C(C)C(C(OCC)=O)C#N)=O,,
REP_00020,Compound 20,CCOC(=O)CCC1(C)OCC(COC)O1,GBJCKNLHNSXPAM-UHFFFAOYSA-N,C11H20O5,232.1311,16,repellent,1.0,Aedes aegypti,repellency,C1CCCC1,pass,,1.0,,,,PubChem,,,,,,,C11H20O5,Aedes aegypti,"4-Methoxymethyl-2-methyl-1,3-dioxolane-2-propionic acid, ethyl ester",,,245458,10.3390/toxics11100837,,,,CCOC(CCC1(C)OC(COC)CO1)=O,,
REP_00021,Compound 21,O[C@H](c1ccccc1Cl)C(Cl)(Cl)Cl,CFMLFQVQUCIPIX-SSDOTTSWSA-N,C8H6Cl4O,257.9173,13,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,PubChem,,,,,,,C8H6OCl4,Aedes aegypti,o-Chloro-alpha-(trichloromethyl)benzyl alcohol,,,221276,10.3390/toxics11100837,,,,OC(C(Cl)(Cl)Cl)c(cccc1)c1Cl,,
REP_00022,Compound 22,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1C(C)(C)C,HRQYCIIBJOQVMJ-XDJHFCHBSA-N,C24H32N2O2,380.2464,28,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCCC2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C24H32N2O2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-tert-butyl-5-phenylpyrazole-3-carboxylate",,,52920576,10.1021/jf104712c,,,,CC(C)(C)[n](c(C(OC/C=C(\C)/CCC=C(C)C)=O)c1)nc1-c1ccccc1,,
REP_00023,Compound 23,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C)nn1C(C)(C)C,SVWVMWIAKBOMCH-RVDMUPIBSA-N,C19H30N2O2,318.2307,23,repellent,1.0,Aedes aegypti,repellency,C1CCCC1,pass,,1.0,,,,Pubchem,,,,,,,C19H30N2O2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-tert-butyl-5-methylpyrazole-3-carboxylate",,,52921547,10.1021/jf104712c,,,,CC(C)(C)[n]1nc(C)cc1C(OC/C=C(\C)/CCC=C(C)C)=O,,
REP_00024,Compound 24,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,YKPUWZUDDOIDPM-SOFGYWHQSA-N,C18H27NO3,305.1991,22,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,Pubchem,,,,,,,C18H27NO3,Drosophila melanogaster,"Capsaicin
2-methoxy-4-[[[(E)-8-methylnon-6-enyl]amino]methyl]phenol",,,548943,10.1038/s41598-020-66900-2,,,,CC(C)/C=C/CCCCC(NCc(cc1)cc(OC)c1O)=O,,
REP_00025,Compound 25,CC(C)=CCC/C(C)=C/COC(=O)c1c(F)cccc1F,DCRNWHSATSVXGC-JLHYYAGUSA-N,C17H20F2O2,294.1431,21,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,Pubchem,,,,,,,C17H20O2F2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2,6-difluorobenzoate",,,52920640,10.1021/jf104712c,,,,CC(C)=CCC/C(\C)=C/COC(c(c(F)ccc1)c1F)=O,,
REP_00026,Compound 26,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1-c1ccccc1,CUSYZGZRDAJYFS-HEHNFIMWSA-N,C26H28N2O2,400.2151,30,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCC(C3CCCCC3)C2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C26H28N2O2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2,5-diphenylpyrazole-3-carboxylate",,,52920577,10.1021/jf104712c,,,,CC(C)=CCC/C(\C)=C/COC(c1cc(-c2ccccc2)n[n]1-c1ccccc1)=O,,
REP_00027,Compound 27,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C)nn1-c1ccccc1,GKISULDNYAUNTL-GHRIWEEISA-N,C21H26N2O2,338.1994,25,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCCC2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C21H26N2O2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 5-methyl-2-phenylpyrazole-3-carboxylate",,,52921548,10.1021/jf104712c,,,,CC(C)=CCC/C(\C)=C/COC(c1cc(C)n[n]1-c1ccccc1)=O,,
REP_00028,Compound 28,CC(C)OC(=O)CCC(=O)N(C(C)C)C(C)C,XCCJHTUANVHLEA-UHFFFAOYSA-N,C13H25NO3,243.1834,17,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C13H25NO3,Aedes aegypti,"N,N-Di-iso-propylsuccinamic acid, iso-propyl ester",,,249227,10.3390/toxics11100837,,,,CC(C)N(C(C)C)C(CCC(OC(C)C)=O)=O,,
REP_00029,Compound 29,COC(=O)CCCCC(=O)N(C(C)C)C(C)C,OKDBCLDDUYQSGA-UHFFFAOYSA-N,C13H25NO3,243.1834,17,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C13H25NO3,Aedes aegypti,"N,N-Di-iso-propyladipamic acid, methyl ester",,,245404,10.3390/toxics11100837,,,,CC(C)N(C(C)C)C(CCCCC(OC)=O)=O,,
REP_00030,Compound 30,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1-c1ccccc1,NEHHMFTZYFJTKB-XMHGGMMESA-N,C23H30N2O2,366.2307,27,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCCC2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C23H30N2O2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-phenyl-5-propan-2-ylpyrazole-3-carboxylate",,,52920574,10.1021/jf104712c,,,,CC(C)c(cc1C(OC/C=C(\C)/CCC=C(C)C)=O)n[n]1-c1ccccc1,,
REP_00031,Compound 31,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1C(C)(C)C,VILDBNRLFYLAMS-SFQUDFHCSA-N,C21H34N2O2,346.262,25,repellent,1.0,Aedes aegypti,repellency,C1CCCC1,pass,,1.0,,,,Pubchem,,,,,,,C21H34N2O2,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-tert-butyl-5-propan-2-ylpyrazole-3-carboxylate",,,52921551,10.1021/jf104712c,,,,CC(C)c1n[n](C(C)(C)C)c(C(OC/C=C(\C)/CCC=C(C)C)=O)c1,,
REP_00032,Compound 32,CC(=O)COC(=O)C1(O)CCCCC1,KTFWMELRPMXQHE-UHFFFAOYSA-N,C10H16O4,200.1049,14,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,PubChem,,,,,,,C10H16O4,Aedes aegypti,"1-Hydroxycyclohexanecarboxylic acid, acetonyl ester",,,55601701,10.3390/toxics11100837,,,,CC(COC(C1(CCCCC1)O)=O)=O,,
REP_00033,Compound 33,CC1(CC(=O)OC2CCCCC2)OCCO1,RCEPTYPDPKFZAR-UHFFFAOYSA-N,C12H20O4,228.1362,16,repellent,1.0,Aedes aegypti,repellency,CC(CC1CCCCC1)CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C12H20O4,Aedes aegypti,"2-Methyl-1,3-dioxolane-2-acetic acid, cyclohexyl ester",,,,10.3390/toxics11100837,,,,CC1(CC(OC2CCCCC2)=O)OCCO1,,
REP_00034,Compound 34,CC[C@H](C)OC(=O)CCC(=O)N(C(C)C)C(C)C,WWXDEOPXZSMZFZ-LBPRGKRZSA-N,C14H27NO3,257.1991,18,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,No information,,,,,,,C14H27NO3,Aedes aegypti,"N,N-Di-iso-propylsuccinamic acid, sec-butyl ester",,,,10.3390/toxics11100837,,,,CCC(C)OC(CCC(N(C(C)C)C(C)C)=O)=O,,
REP_00035,Compound 35,CC[C@H](C)OC(=O)CCC(=O)N(CC)CC,SNSCLSFFZQGNQF-JTQLQIEISA-N,C12H23NO3,229.1678,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,No information,,,,,,,C12H23NO3,Aedes aegypti,"N,N-Diethylsuccinamic acid, sec-butyl ester",,,,10.3390/toxics11100837,,,,CCC(C)OC(CCC(N(CC)CC)=O)=O,,
REP_00036,Compound 36,CCC(C)OC(=O)N1CCCCC1CCO,QLHULAHOXSSASE-UHFFFAOYSA-N,C12H23NO3,229.1678,16,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,Pubchem,,,,,,,C12H23NO3,Aedes albopictus,butan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate,,,125098,10.1021/acs.jafc.2c05537,,,,CCC(C)OC(N1C(CCO)CCCC1)=O,,
REP_00037,Compound 37,CCC(=O)Oc1ccccc1C(=O)OC,PYBKJYXFTAFKIO-UHFFFAOYSA-N,C11H12O4,208.0736,15,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,PubChem,,,,,,,C11H12O4,Aedes aegypti,"Propionylsalicylic acid, methyl ester",,,836916,10.3390/toxics11100837,,,,CCC(Oc(cccc1)c1C(OC)=O)=O,,
REP_00038,Compound 38,CCCC(=O)OCCN(CC)C(=O)CCC,WIDCBXCSJKGBEW-UHFFFAOYSA-N,C12H23NO3,229.1678,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C12H23NO3,Aedes aegypti,N-Ethyl-N-(2-butyroxy-ethyl)butyramide,,,245382,10.3390/toxics11100837,,,,CCCC(N(CC)CCOC(CCC)=O)=O,,
REP_00039,Compound 39,C=C(CC1CC/C(=N/OC(=O)C(C)(C)CC)C1CCCCC)OC/C=C(\C)CCC=C(C)C,AQMRZNLWDKCLCM-DRMRTFAXSA-N,C29H49NO3,459.3712,33,repellent,1.0,Aedes aegypti,repellency,CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C29H49NO3,Acyrthosiphon pisum,,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(C(C)(C)CC)=O,,
REP_00040,Compound 40,C=C(CC1CC/C(=N/OC(=O)C2CC2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,LICRVGGUWYCAGY-JAAYKZSGSA-N,C27H43NO3,429.3243,31,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC1)C1CC1,pass,,1.0,,,,No information,,,,,,,C27H43NO3,Acyrthosiphon pisum,6,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(C1CC1)=O,,
REP_00041,Compound 41,C=C(CC1CC/C(=N/OC(=O)C2CCC2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,WWXXEOXENNQCBB-IKBCAMPVSA-N,C28H45NO3,443.3399,32,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC1)C1CCC1,pass,,1.0,,,,No information,,,,,,,C28H45NO3,Acyrthosiphon pisum,,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(C1CCC1)=O,,
REP_00042,Compound 42,C=C(CC1CC/C(=N/OC(=O)C2CCCC2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,UBWPBMNFVAJXCV-PUAUDHHESA-N,C29H47NO3,457.3556,33,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC1)C1CCCC1,pass,,1.0,,,,No information,,,,,,,C29H47NO3,Acyrthosiphon pisum,,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(C1CCCC1)=O,,
REP_00043,Compound 43,C=C(CC1CC/C(=N/OC(=O)CC)C1CCCCC)OC/C=C(\C)CCC=C(C)C,LGRXROAWYJSBMY-LKYVFCPNSA-N,C26H43NO3,417.3243,30,repellent,1.0,Aedes aegypti,repellency,CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C26H43NO3,Acyrthosiphon pisum,5,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(CC)=O,,
REP_00044,Compound 44,C=CCC(=O)O/N=C1/CCC(CC(=C)OC/C=C(\C)CCC=C(C)C)C1CCCCC,KGYIJSNMMDHLCL-JXHDRPAUSA-N,C27H43NO3,429.3243,31,repellent,1.0,Aedes aegypti,repellency,CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C27H43NO3,Acyrthosiphon pisum,7,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(CC=C)=O,,
REP_00045,Compound 45,C=CCCC(=O)O/N=C1/CCC(CC(=C)OC/C=C(\C)CCC=C(C)C)C1CCCCC,JQJHIMFKUMWFHY-DRPAJOLBSA-N,C28H45NO3,443.3399,32,repellent,1.0,Aedes aegypti,repellency,CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C28H45NO3,Acyrthosiphon pisum,8,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(CCC=C)=O,,
REP_00046,Compound 46,C=C(CC1CC/C(=N/OC(=O)CCCCC)C1CCCCC)OC/C=C(\C)CCC=C(C)C,KCHVIKPYYFBRAV-OQVVGELLSA-N,C29H49NO3,459.3712,33,repellent,1.0,Aedes aegypti,repellency,CC1CCCC1,pass,,1.0,,,,No information,,,,,,,C29H49NO3,Acyrthosiphon pisum,,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(CCCCC)=O,,
REP_00047,Compound 47,C=C(CC1CC/C(=N/OC(=O)c2ccccc2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,FGLKHBPMYXNBOC-UWKKQAPASA-N,C30H43NO3,465.3243,34,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC1)C1CCCCC1,pass,,1.0,,,,No information,,,,,,,C30H43NO3,Acyrthosiphon pisum,,,,,10.1021/acs.jafc.2c04126,,,,CCCCCC(C(CC(OC/C=C(\C)/CCC=C(C)C)=C)CC1)/C\1=N\OC(c1ccccc1)=O,,
REP_00048,Compound 48,CCCCN(CCC(=O)OCC)C(C)=O,VZRKEAFHFMSHCD-UHFFFAOYSA-N,C11H21NO3,215.1521,15,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C11H21NO3,"An. dirus sl, An. minimus sl, An. maculatus sl, Anopheles barbirostris sl, Ae. aegypti e Ae. albopictus",Ethyl butylacetylaminopropionate (IR3535),,,104150,"10.1371/journal.pntd.0003326
10.1016/j.cub.2019.09.007",,,,CCCCN(CCC(OCC)=O)C(C)=O,,
REP_00049,Compound 49,CCCCN(CCOC(=O)CC)C(=O)CC,CUKHPXLJKGYCGU-UHFFFAOYSA-N,C12H23NO3,229.1678,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C12H23NO3,Aedes aegypti,CCCCN(CCOC(CC)=O)C(CC)=O,,,245384,10.1371/annotation/1dc83f26-8045-4b63-8a86-24c7b71a7f79,,,,CCCCN(CCOC(CC)=O)C(CC)=O,,
REP_00050,Compound 50,CCCCOC(=O)/C=C/C(=O)OCCCC,JBSLOWBPDRZSMB-BQYQJAHWSA-N,C12H20O4,228.1362,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C12H20O4,Anopheles spp.,Dibutyl fumarate,,,5271570,10.1186/s13071-017-2122-8,,,,CCCCOC(/C=C/C(OCCCC)=O)=O,,
REP_00051,Compound 51,CCCCOC(=O)C1=CC(=O)CC(C)(C)O1,OKIJSNGRQAOIGZ-UHFFFAOYSA-N,C12H18O4,226.1205,16,repellent,1.0,Aedes aegypti,repellency,CC1CCCCC1,pass,,1.0,,,,Pubchem,,,,,,,C12H18O4,Acari: Ixodidae,Indalone,,,10760,10.1111/j.1365-2915.2003.00453.x.,,,,CCCCOC(C(OC(C)(C)C1)=CC1=O)=O,,
REP_00052,Compound 52,CCCCOC(=O)CN1CCOCC1,RXLQKAXLSHPIFI-UHFFFAOYSA-N,C10H19NO3,201.1365,14,repellent,1.0,Aedes aegypti,repellency,C1CCCCC1,pass,,1.0,,,,PubChem,,,,,,,C10H19NO3,Aedes aegypti,"4-Morpholineacetic acid, butyl ester",,,59204117,10.3390/toxics11100837,,,,CCCCOC(CN1CCOCC1)=O,,
REP_00053,Compound 53,CCCCOCCOC(=O)C1(O)CCCC1,CFGLHIIXIIBIDF-UHFFFAOYSA-N,C12H22O4,230.1518,16,repellent,1.0,Aedes aegypti,repellency,C1CCCC1,pass,,1.0,,,,PubChem,,,,,,,C12H22O4,Aedes aegypti,"1-Hydroxycyclopentanecarboxylic acid, 2-butoxyethyl ester",,,245377,10.3390/toxics11100837,,,,CCCCOCCOC(C1(CCCC1)O)=O,,
