compound_id,canonical_smiles,source_dataset,repellent_active,scaffold_smiles,method,convergence,charge,multiplicity,mmff_energy,homo_ev,lumo_ev,homo_lumo_gap_ev,total_energy_eh,dipole_debye,partial_charge_mean,partial_charge_std,partial_charge_max,partial_charge_min,dft_subset
REP_00020,CCOC(=O)CCC1(C)OCC(COC)O1,repellent,1.0,C1CCCC1,GFN2-xTB,converged,0.0,1.0,16.813524617164592,-10.860445078290422,-6.272999348245911,4.587445730044511,-54.10868192404294,0.8106617596172772,1.2335811384723962e-16,0.15906045038189404,0.3604005608698885,-0.4130243911534089,False
REP_00022,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1C(C)(C)C,repellent,1.0,C1CCC(C2CCCC2)CC1,GFN2-xTB,converged,0.0,1.0,41.987029473436976,-10.167684110324522,-7.39050773510066,2.7771763752238625,-81.6727176938892,0.7558520930187066,-1.3079815008865126e-16,0.10056876685449309,0.34859738344127544,-0.43318496874072976,False
REP_00023,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C)nn1C(C)(C)C,repellent,1.0,C1CCCC1,GFN2-xTB,converged,0.0,1.0,22.225002251162454,-10.186851664528682,-7.326319807608677,2.860531856920005,-69.9542435333663,0.8988081163201733,1.148190557306913e-16,0.10837116346122976,0.3475954420783577,-0.4342345184192583,False
REP_00026,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1-c1ccccc1,repellent,1.0,C1CCC(C2CCC(C3CCCCC3)C2)CC1,GFN2-xTB,converged,0.0,1.0,54.65471334828897,-10.2627617403289,-7.648586695374983,2.6141750449539165,-83.88598154464523,1.507411546658993,1.4966476334117144e-16,0.09779005353067638,0.3511029582629075,-0.4188331392222303,False
REP_00027,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C)nn1-c1ccccc1,repellent,1.0,C1CCC(C2CCCC2)CC1,GFN2-xTB,converged,0.0,1.0,37.26444769336507,-7.619024960173357,-6.2398644555682115,1.3791605046051458,-72.16798663300268,1.16580644384671,-2.3388154158463774e-16,0.10564620490167873,0.34793323854883845,-0.42475768757492627,False
REP_00030,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1-c1ccccc1,repellent,1.0,C1CCC(C2CCCC2)CC1,GFN2-xTB,converged,0.0,1.0,38.58549829108903,-10.244612578634618,-7.5546426607888195,2.689969917845798,-78.49945882335474,1.382861177489658,-5.721544096204206e-17,0.10039021236803906,0.35065059055793846,-0.4199951043455657,False
REP_00031,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1C(C)(C)C,repellent,1.0,C1CCCC1,GFN2-xTB,converged,0.0,1.0,23.626551467674478,-10.166300929978267,-7.303362097583706,2.86293883239456,-76.28443781340955,0.8056998526763512,7.07531961456032e-16,0.10314070639909541,0.34759102156205607,-0.4344979092489914,False
REP_00033,CC1(CC(=O)OC2CCCCC2)OCCO1,repellent,1.0,CC(CC1CCCCC1)CC1CCCC1,GFN2-xTB,converged,0.0,1.0,-0.8732134721068565,-11.080543719963584,-6.471874842700316,4.608668877263268,-52.20970350850598,1.2768061664240118,1.5998005389563886e-17,0.14752209603359723,0.3553852050254253,-0.4083913615091121,True
REP_00034,CC[C@H](C)OC(=O)CCC(=O)N(C(C)C)C(C)C,repellent,1.0,,GFN2-xTB,converged,0.0,1.0,-27.317939316373458,-10.303537461950077,-6.108272344100424,4.195265117849653,-58.92481045719085,1.0921221676707438,3.23815048849004e-17,0.13552639965327765,0.36190454500239844,-0.43896804823444413,False
REP_00037,CCC(=O)Oc1ccccc1C(=O)OC,repellent,1.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,35.059382947789615,-11.222951771697357,-7.693761053087635,3.5291907186097218,-45.947268231876315,0.7548128285496051,1.3929187021917472e-16,0.17315408765443738,0.3598444687073978,-0.40825068187043,False
REP_00039,C=C(CC1CC/C(=N/OC(=O)C(C)(C)CC)C1CCCCC)OC/C=C(\C)CCC=C(C)C,repellent,1.0,CC1CCCC1,GFN2-xTB,converged,0.0,1.0,93.76541175591503,-10.1243638029823,-6.7901455347144815,3.3342182682678185,-102.1518808814704,2.2071466575484093,-5.3226393482410326e-17,0.08929222533147371,0.34945525620776496,-0.3779892517974722,False
REP_00040,C=C(CC1CC/C(=N/OC(=O)C2CC2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,repellent,1.0,CC(CCC1CCCC1)C1CC1,GFN2-xTB,converged,0.0,1.0,110.27936299209138,-10.158105398076565,-6.939195993772133,3.2189094043044317,-94.76944618281365,2.0643288917058005,8.833024402000823e-17,0.0916812326438161,0.3552741175310312,-0.3754000985975255,False
REP_00041,C=C(CC1CC/C(=N/OC(=O)C2CCC2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,repellent,1.0,CC(CCC1CCCC1)C1CCC1,GFN2-xTB,converged,0.0,1.0,90.55095031342044,-10.137782981807613,-6.94611267393221,3.1916703078754027,-97.9423315567076,1.7819079182450004,-4.0101399834269046e-17,0.08975038996881604,0.3435378989115843,-0.37247739700320504,False
REP_00042,C=C(CC1CC/C(=N/OC(=O)C2CCCC2)C1CCCCC)OC/C=C(\C)CCC=C(C)C,repellent,1.0,CC(CCC1CCCC1)C1CCCC1,GFN2-xTB,converged,0.0,1.0,86.50977563923296,-10.051348877772634,-6.81957287534211,3.231776002430524,-101.14241707279983,1.306866111397117,-1.209969624493823e-16,0.08925829672342815,0.3512331333317538,-0.3713831857935026,False
